asset_id,timestamp,value,,,,,,,
23,5/20/2021 0:48,3,,,,,,,
8,5/20/2021 1:12,2,,,,,,,
32,5/20/2021 1:36,2,,,,,,,
38,5/20/2021 2:00,1,,,,,,,
17,5/20/2021 2:24,3,,,,,,,
9,5/20/2021 2:48,1,,,,,,,
29,5/20/2021 3:12,1,,,,,,,
10,5/20/2021 3:36,4,,,,,,,
26,5/20/2021 4:00,3,,,,,,,
26,5/20/2021 4:24,1,,,,,,,
24,5/20/2021 4:48,3,,,,,,,
32,5/20/2021 5:12,3,,,,,,,
19,5/20/2021 5:36,3,,,,,,,
5,5/20/2021 6:00,1,,,,,,,
5,5/20/2021 6:24,2,,,,,,,
31,5/20/2021 6:48,1,,,,,,,
9,5/20/2021 7:12,2,,,,,,,
39,5/20/2021 7:36,1,,,,,,,
28,5/20/2021 8:00,1,,,,,,,
15,5/20/2021 8:24,1,,,,,,,
31,5/20/2021 8:48,3,,,,,,,
25,5/20/2021 9:12,1,,,,,,,
3,5/20/2021 9:36,1,,,,,,,
40,5/20/2021 10:00,4,,,,,,,
37,5/20/2021 10:24,2,,,,,,,
24,5/20/2021 10:48,3,,,,,,,
26,5/20/2021 11:12,4,,,,,,,
16,5/20/2021 11:36,2,,,,,,,
36,5/20/2021 12:00,4,,,,,,,
15,5/20/2021 12:24,4,,,,,,,
5,5/20/2021 12:48,1,,,,,,,
21,5/20/2021 13:12,2,,,,,,,
38,5/20/2021 13:36,1,,,,,,,
27,5/20/2021 14:00,2,,,,,,,
40,5/20/2021 14:24,4,,,,,,,
34,5/20/2021 14:48,4,,,,,,,
3,5/20/2021 15:12,2,,,,,,,
25,5/20/2021 15:36,1,,,,,,,
20,5/20/2021 16:00,1,,,,,,,
22,5/20/2021 16:24,3,,,,,,,
8,5/20/2021 16:48,3,,,,,,,
19,5/20/2021 17:12,2,,,,,,,
8,5/20/2021 17:36,1,,,,,,,
36,5/20/2021 18:00,3,,,,,,,
23,5/20/2021 18:24,4,,,,,,,
15,5/20/2021 18:48,1,,,,,,,
23,5/20/2021 19:12,3,,,,,,,
22,5/20/2021 19:36,2,,,,,,,
16,5/20/2021 20:00,4,,,,,,,
14,5/20/2021 20:24,1,,,,,,,
15,5/20/2021 20:48,3,,,,,,,
19,5/20/2021 21:12,2,,,,,,,
5,5/20/2021 21:36,4,,,,,,,
21,5/20/2021 22:00,2,,,,,,,
25,5/20/2021 22:24,3,,,,,,,
15,5/20/2021 22:48,1,,,,,,,
25,5/20/2021 23:12,1,,,,,,,
32,5/20/2021 23:36,3,,,,,,,
14,5/21/2021 0:00,1,,,,,,,
14,5/21/2021 0:24,1,,,,,,,
40,5/21/2021 0:48,2,,,,,,,
18,5/21/2021 1:12,3,,,,,,,
21,5/21/2021 1:36,3,,,,,,,
31,5/21/2021 2:00,3,,,,,,,
32,5/21/2021 2:24,4,,,,,,,
38,5/21/2021 2:48,3,,,,,,,
27,5/21/2021 3:12,2,,,,,,,
38,5/21/2021 3:36,4,,,,,,,
19,5/21/2021 4:00,1,,,,,,,
26,5/21/2021 4:24,4,,,,,,,
34,5/21/2021 4:48,2,,,,,,,
38,5/21/2021 5:12,3,,,,,,,
28,5/21/2021 5:36,4,,,,,,,
39,5/21/2021 6:00,2,,,,,,,
25,5/21/2021 6:24,3,,,,,,,
37,5/21/2021 6:48,1,,,,,,,
11,5/21/2021 7:12,2,,,,,,,
25,5/21/2021 7:36,2,,,,,,,
2,5/21/2021 8:00,4,,,,,,,
33,5/21/2021 8:24,2,,,,,,,
29,5/21/2021 8:48,2,,,,,,,
21,5/21/2021 9:12,1,,,,,,,
11,5/21/2021 9:36,2,,,,,,,
30,5/21/2021 10:00,3,,,,,,,
21,5/21/2021 10:24,4,,,,,,,
9,5/21/2021 10:48,2,,,,,,,
29,5/21/2021 11:12,3,,,,,,,
19,5/21/2021 11:36,1,,,,,,,
5,5/21/2021 12:00,4,,,,,,,
17,5/21/2021 12:24,3,,,,,,,
13,5/21/2021 12:48,2,,,,,,,
38,5/21/2021 13:12,1,,,,,,,
31,5/21/2021 13:36,2,,,,,,,
13,5/21/2021 14:00,1,,,,,,,
32,5/21/2021 14:24,4,,,,,,,
17,5/21/2021 14:48,2,,,,,,,
22,5/21/2021 15:12,4,,,,,,,
20,5/21/2021 15:36,1,,,,,,,
5,5/21/2021 16:00,1,,,,,,,
14,5/21/2021 16:24,3,,,,,,,
15,5/21/2021 16:48,4,,,,,,,
29,5/21/2021 17:12,1,,,,,,,
4,5/21/2021 17:36,3,,,,,,,
29,5/21/2021 18:00,4,,,,,,,
40,5/21/2021 18:24,2,,,,,,,
32,5/21/2021 18:48,4,,,,,,,
35,5/21/2021 19:12,1,,,,,,,
31,5/21/2021 19:36,2,,,,,,,
36,5/21/2021 20:00,2,,,,,,,
32,5/21/2021 20:24,1,,,,,,,
3,5/21/2021 20:48,1,,,,,,,
11,5/21/2021 21:12,1,,,,,,,
1,5/21/2021 21:36,2,,,,,,,
5,5/21/2021 22:00,2,,,,,,,
